user_id,txn_id,transaction_hour,imei_match,location_anomaly,txn_amount,amount_deviation,recipient_novelty,velocity_score,time_since_last_txn,daily_limit_proximity,cumulative_session_amt,alert_number_match,account_check_flag,bvn_check_flag,dob_extracted_flag,pin_reset_flag,time_since_pin_reset,session_anomaly,intermediate_account,layered_transfer,is_fraud,recipient_Known,recipient_Merchant,recipient_POS_Unknown,txn_type_Airtime,txn_type_BillPayment,txn_type_Transfer
0,0,4,1,1,46345.01,1.8905575779641874,1,7.8796,50.33803721087949,0.3088,47421.38,1,0,0,0,0,999999.0,1,0,0,0,1,0,0,1,0,0
0,1,11,0,1,4014.67,-0.74954639354923,1,1.1931,81.17476881192987,0.0178,4807.87,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,2,13,1,0,8597.82,-0.4636995868134062,0,0.3097,68.444590321676,0.0355,11913.44,1,0,0,0,0,999999.0,1,0,0,0,1,0,0,0,0,1
0,3,1,1,0,179465.51,5.0,0,0.7968,0.9123279348812442,0.5057,182285.74,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,4,10,1,0,45580.03,1.8428464862004938,0,1.2633,35.49199677923564,0.237,51781.93,1,0,0,0,0,999999.0,0,1,0,0,0,1,0,0,0,1
0,5,7,1,1,55645.53,2.4706223681156474,0,6.043,5.467373051326083,0.2552,69631.45,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,6,4,1,0,41853.63,1.6104343808536528,1,1.138,1.4220443329026755,0.1983,46462.57,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,7,13,1,1,42512.92,1.6515536855268278,0,1.4108,86.63929737335306,0.1885,49719.49,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,8,9,1,0,27850.7,0.7370846485853939,0,1.6837,18.809334666804908,0.1999,38213.53,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,9,7,1,0,34205.42,1.1334226300392576,0,0.6597,1.9896459705149478,0.1864,49315.56,1,0,0,0,0,999999.0,0,0,0,0,0,1,0,0,0,1
0,10,11,1,0,29293.14,0.8270482910382967,0,1.8758,84.47306876122781,0.1982,39502.03,1,0,0,0,0,999999.0,0,1,0,0,0,0,1,0,0,1
0,11,13,1,0,52515.9,2.275430253136946,0,1.7112,28.934877700058735,0.3711,53316.77,1,0,0,0,0,999999.0,0,1,0,0,1,0,0,0,0,1
0,12,5,1,0,35927.64,1.2408358911144068,0,1.6443,1.5136810216983192,0.1386,37380.43,1,0,0,0,0,999999.0,0,0,1,0,1,0,0,0,0,1
0,13,10,1,0,13764.27,-0.14147290109282143,0,0.6593,5.828507417983193,0.0722,18606.94,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,14,8,0,0,52366.75,2.266127906230419,0,1.025,77.28923370014557,0.301,67379.43,1,0,1,0,0,999999.0,0,0,0,0,0,0,1,0,1,0
0,15,11,1,1,60564.16,2.7773927507160483,1,1.8717,61.120627597309095,0.4256,82823.64,1,0,0,0,0,999999.0,0,1,0,0,1,0,0,0,0,1
0,16,7,1,0,29005.99,0.8091390123644171,0,1.2147,0.6655068315676906,0.1786,42907.71,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,17,7,1,0,61087.94,2.810060422608107,0,1.2104,0.7667385238489495,0.3457,84347.5,1,0,0,0,0,999999.0,0,1,0,0,1,0,0,0,1,0
0,18,11,1,0,29165.64,0.819096234514112,1,0.909,1.4396602921636539,0.203,35501.17,1,0,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,19,8,1,0,6636.73,-0.5860109478252773,0,0.433,8.936877085127493,0.0381,9853.23,1,0,0,0,0,999999.0,1,0,1,0,0,1,0,0,0,1
0,20,7,1,0,21148.22,0.31905719907780083,0,1.421,0.5939047394230991,0.0935,24106.47,1,1,0,0,0,999999.0,0,0,0,0,1,0,0,0,0,1
0,21,11,1,0,13113.77,-0.18204398163385838,0,1.6352,81.15917877475661,0.0951,16186.94,1,1,0,1,0,999999.0,0,0,0,0,1,0,0,0,0,1
